index,0
I,5950
a,3371
you,3272
is,2914
the,2272
to,2053
Tom,2034
He,1573
I'm,1452
was,1441
You're,1315
You,1310
your,1173
have,1138
are,1092
The,1001
We,962
This,956
It's,899
very,893
my,854
not,818
you.,810
She,809
like,799
They,783
be,715
me,708
of,688
Are,678
it,654
What,618
Do,613
in,606
all,595
It,588
it.,571
for,569
that,565
We're,561
me.,559
this,534
That's,519
do,517
I'll,506
Don't,500
don't,480
that.,435
has,423
That,423
on,413
did,411
Is,397
were,396
really,390
want,383
his,354
one,353
at,350
How,341
need,339
Let's,337
an,334
Did,325
will,325
can,320
I've,316
Why,313
My,306
know,299
here.,296
no,292
He's,282
No,271
Can,269
got,269
Tom.,262
too,260
with,259
Where,249
They're,247
must,246
so,246
good,243
Have,239
love,238
about,237
should,235
just,234
go,230
this.,230
get,229
him.,229
had,226
going,210
didn't,205
you?,203
we,202
been,201
Who,200
out,196
still,194
it?,187
made,184
now.,184
Let,174
Please,174
that?,174
up.,172
Your,172
they,171
never,170
her,167
Get,167
look,164
see,159
isn't,159
Be,151
him,151
am,148
doesn't,146
happy.,144
feel,144
think,142
and,142
some,140
up,139
he,138
won't,138
Come,138
me?,137
there.,135
What's,133
come,131
always,130
We'll,130
could,129
alone.,127
us.,124
take,121
go.,121
Take,120
can't,120
Give,119
You've,118
today.,118
went,118
likes,118
saw,117
good.,117
hate,116
out.,115
our,114
help,114
right.,114
any,113
money.,110
would,110
tomorrow.,107
make,105
I'd,105
already,104
work.,104
this?,103
from,103
She's,102
well.,101
Keep,100
right,98
again.,98
us,98
friends.,96
what,96
hear,95
Go,94
yesterday.,94
her.,94
back,93
getting,93
looks,93
everything.,92
off,92
time.,92
Nobody,92
much.,92
car.,91
When,91
Stop,91
busy.,89
anything.,89
wasn't,89
His,89
Everyone,89
here,89
work,88
lost,88
anymore.,88
Look,88
does,87
big,87
down.,87
here?,86
being,86
them.,85
one.,85
seems,85
French.,85
enough.,83
thought,83
there,83
Tom's,83
find,82
by,82
almost,81
gave,81
Mary.,80
felt,80
away.,80
only,79
job.,78
believe,76
Where's,75
looking,75
understand,75
found,74
back.,74
try,74
help.,74
speak,74
tired.,73
doing,73
live,73
eat,72
three,72
book.,72
talk,71
problem.,71
All,71
We've,71
idea.,71
teacher.,71
new,70
lot.,70
took,69
much,69
Will,69
call,69
more,68
mine.,68
Just,68
them,68
day.,68
A,68
water.,67
done,67
wrong.,67
leave,67
Mary,67
pretty,67
knows,66
Would,66
loves,65
These,65
home.,65
wanted,65
afraid,65
little,65
heard,64
give,64
say,64
May,64
nice,64
hope,63
quite,62
looked,62
great,62
down,62
Tell,62
Were,61
There,61
said,60
left,60
funny.,60
may,60
cold.,59
she,59
bad,59
way.,59
yourself.,59
these,59
go?,58
read,58
their,58
fun.,58
Everything,58
come.,58
please.,58
room.,57
there?,57
play,57
together.,57
into,57
hard.,57
ready,56
something,56
dog,56
keep,56
