index,0
?,5085
Je,4579
est,2265
Il,2226
pas,2212
Tom,2108
!,1896
C'est,1771
de,1766
le,1686
un,1622
Nous,1580
J'ai,1567
Vous,1502
Tu,1377
ne,1343
une,1267
a,1245
la,1203
suis,1182
à,1097
Elle,882
vous,811
me,785
les,779
très,736
sont,727
en,709
Ils,655
êtes,650
Ce,645
des,507
que,490
n'est,489
Le,478
es,476
sommes,450
mon,445
Ça,440
Ne,436
fait,413
pas.,410
Elles,410
votre,391
te,391
La,389
été,389
nous,376
vraiment,373
était,362
Les,347
ce,342
pour,334
du,332
être,317
Personne,315
Pourquoi,313
Où,305
Tom.,303
Tout,293
se,288
ton,283
ça.,280
avons,277
l'air,261
Comment,260
ça,253
plus,252
ont,251
J'aime,249
veux,249
C'était,242
au,240
tout,236
ma,234
trop,233
faire,224
Est-ce,221
Êtes-vous,220
Que,220
avec,219
tous,216
son,216
besoin,214
m'a,211
n'ai,210
Avez-vous,210
Qui,209
On,207
cette,205
si,204
as,203
ici.,200
As-tu,199
dans,198
s'est,193
bien,191
toujours,191
J'étais,191
faut,186
y,185
dois,179
avez,178
n'a,175
Cette,174
Es-tu,173
va,172
moi.,169
cela,168
ai,165
je,164
ta,161
monde,159
bien.,158
qui,157
bon,152
fut,152
ici,151
quelque,148
c'est,146
peux,144
jamais,144
Mon,143
toi.,143
déjà,143
toutes,142
Cela,142
tu,140
assez,137
l'ai,137
Quelle,136
vais,135
cela.,135
fort,132
encore,132
vous.,132
Puis-je,132
Quel,131
êtes-vous,129
juste,127
vos,125
mes,121
l'a,120
sur,119
beaucoup,119
et,117
peu,115
J'adore,114
tes,114
sa,112
rien,111
aujourd'hui.,110
Ma,109
dit,109
vu,108
maintenant.,108
n'y,106
J'en,106
chose,105
aime,104
déteste,104
deux,101
sais,100
quoi,100
semble,98
demain.,98
Merci,98
rien.,98
parle,97
peut,97
Veuillez,96
là,95
bonne,94
m'en,93
sens,93
fais,93
n'aime,93
ceci,92
d'un,91
d'être,90
chez,90
pense,88
notre,88
français.,88
lui,88
Quand,88
n'êtes,86
porte,85
devrais,84
hier.,84
À,83
seul.,83
devez,82
avait,81
Soyez,81
maintenant,80
Quelqu'un,80
tellement,79
ses,79
comme,78
bon.,78
problème.,77
d'une,77
étaient,77
devons,77
aller.,76
dû,76
pris,76
es-tu,76
chien,76
presque,75
temps,75
heureux.,75
chose.,74
partir.,74
n'en,73
qu'il,73
est-il,73
t'ai,73
trois,72
voiture,72
Laissez-moi,71
peur,70
moi,70
Laisse-moi,70
n'était,70
avoir,69
tout.,69
as-tu,69
Votre,69
perdu,68
père,68
maison,68
là.,68
En,68
pourrait,67
jamais.,66
Qu'est-ce,65
ceci.,65
s'il,65
aux,65
par,65
livre.,63
aucune,63
Mary.,63
Ces,63
plutôt,62
faire.,62
raison.,62
connais,62
J'y,62
aller,61
sans,61
n'es,61
idée.,60
sait,60
Sois,59
De,59
doit,59
simplement,59
mère,58
pouvez,58
J'aimerais,58
prendre,58
français,58
ces,58
souvent,58
entendu,57
voiture.,57
Un,57
eu,57
mal,57
vite.,57
enfants.,57
travail.,56
a-t-il,56
complètement,56
voir,56
plus.,56
viens,56
beaucoup.,55
maison.,55
temps.,55
j'ai,55
chance.,55
travaille,55
ensemble.,54
J'espère,54
livre,54
avez-vous,53
Son,53
sera,53
trouvé,53
J'apprécie,53
difficile.,52
parler,52
Combien,52
veut,52
aucun,51
aussi,51
Pouvez-vous,51
Ton,51
acheté,51
travail,50
fait.,50
tard.,50
Peux-tu,50
Regarde,49
amis.,49
Fais,48
d'argent.,48
Voici,48
Mary,47
choix.,47
Peut-être,47
Prends,47
serai,47
Faites,47
occupé.,46
arrivé,46
erreur.,46
tôt.,46
Arrête,46
Mes,46
lui.,46
Y,46
où,46
plaît.,46
étions,45
problème,45
malade.,45
personne.,45
soir.,44
cet,44
chanter.,44
pensais,44
même,44
nous.,43
homme,43
voulais,43
Restez,43
enfants,43
parler.,43
fille,43
ami.,42
n'avons,42
T'es,42
rester,42
autre,42
Sa,41
Reste,41
Boston.,41
heureuse.,41
mal.,41
porte.,41
probablement,41
femme,41
adore,41
mort.,41
voir.,40
nouveau.,40
Va,40
bientôt,40
faim.,40
pu,40
intéressant.,40
fini,40
l'argent.,40
fort.,40
grand,40
tous.,40
aujourd'hui,40
mieux.,39
chien.,39
J'aurais,39
Ceci,39
vrai.,39
toi,39
Tous,39
prêt,39
crois,39
leur,39
vit,39
froid.,39
fatigué.,39
Aimes-tu,38
nom.,38
quelqu'un,38
Viens,38
s'en,38
Venez,38
facile.,38
Donne-moi,37
faites,37
demain,37
confiance.,37
exactement,37
chambre,37
partir,37
vie,37
jouer,37
pouvons,36
Arrêtez,36
devriez,36
est-elle,36
personne,36
Regardez,36
vont,36
vu.,36
rapidement.,36
grande,36
tort.,35
Quiconque,35
garçon,35
terminé.,35
J'avais,35
Prenez,35
livres.,35
danger.,34
voulons,34
laissé,34
devrait,34
train,34
n'as,34
amusant.,34
Aimez-vous,34
mange,34
manger,34
dehors.,34
aider.,34
travailler,34
vie.,34
seule.,34
aimé,33
prie.,33
nouveau,33
nos,33
parfait.,33
venu,33
reçu,33
lit,33
téléphone,33
parfaitement,33
devenu,33
Quelque,33
vient,33
cheveux,32
l'ont,32
heures.,32
Ai-je,32
derrière,32
dur.,32
l'école.,32
surpris.,32
comprends,32
Cet,32
vraiment.,32
mieux,32
Rien,32
réponse,32
Allons,32
toute,32
gros,32
toujours.,32
trop.,32
partie,32
question,32
dispose,31
Ses,31
est-ce,31
seul,31
nouvelle,31
oublié,31
retard.,31
compte,31
lire,31
verre,31
Toutes,31
dangereux.,31
peur.,31
coûte,30
chat,30
après,30
Une,30
t'a,30
n'avez,30
sœur,30
allons,30
Donnez-moi,30
s'agit,30
trouve,30
bizarre.,30
nuit.,30
parlé,30
n'ont,30
triste.,30
mourir.,30
important.,29
nager.,29
ferai,29
vérité.,29
chambre.,29
possible.,29
il,29
question.,29
